ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE,entropy_joint,complexity_joint,fisher_joint
82.0,55.3,1254.0,59.0,3.9,11.41,26.0,29.8,65.5,0.6678176054984288,0.38381092042133996,0.6678176054984288
81.0,22.7,2055.0,53.0,5.5,5.4,33.67127381397086,22.7,71.0,0.6729612150914998,0.38118397764098283,0.6729612150914998
81.0,69.0,1658.0,61.0,-0.8,17.55,40.0,32.5,67.5,0.669914614541279,0.3826273451655986,0.669914614541279
82.0,19.6,1571.0,59.0,2.3,5.09,44.0,27.1,62.7,0.6722199148312921,0.38255268534115366,0.6722199148312921
82.0,71.0,1505.0,52.0,2.3,15.79,48.0,31.8,65.9,0.6713228014504807,0.3823843072429182,0.6713228014504807
83.0,56.5,1643.0,48.0,0.0,13.91,51.0,31.0,69.0,0.6710601436878467,0.3823953232191496,0.6710601436878467
83.0,60.0,1723.0,43.0,0.8,15.63,52.0,31.4,69.0,0.6688927654908716,0.3825829996862629,0.6688927654908716
83.0,51.4,1714.0,43.0,2.3,13.16,51.0,30.6,70.2,0.6640616178911131,0.3839913346729305,0.6640616178911131
83.0,47.8,1688.0,54.0,3.9,12.3,52.0,29.8,70.2,0.6657969525267626,0.38424564892204754,0.6657969525267626
82.0,61.6,1751.0,31.0,-2.3,16.3,52.0,31.8,68.6,0.6662791720695284,0.38387621139520883,0.6662791720695284
82.0,53.7,1433.0,49.0,-0.8,12.27,53.0,30.2,68.2,0.6653385414402703,0.3836913980793177,0.6653385414402703
83.0,47.1,1428.0,40.0,4.7,10.04,51.0,28.2,68.2,0.6643911380150135,0.38350828024188655,0.6643911380150135
83.0,48.2,1420.0,43.0,3.9,10.22,52.0,28.6,68.6,0.66133984409479,0.38325238588316035,0.66133984409479
83.0,49.0,1429.0,32.0,-0.8,7.96,52.0,26.3,68.2,0.6604216348435614,0.3830868515973117,0.6604216348435614
83.0,46.3,1443.0,39.0,3.9,9.64,53.0,28.2,69.0,0.6550015192361752,0.3858687550965414,0.6550015192361752
83.0,41.6,1461.0,37.0,-1.6,9.06,53.0,27.5,69.8,0.6535190205827058,0.385748235452525,0.6535190205827058
82.0,40.4,1452.0,35.0,3.9,9.01,52.0,27.5,70.2,0.6518130821595042,0.38564134970207664,0.6518130821595042
82.0,15.3,846.0,32.0,-0.8,4.51,50.0,22.4,68.6,0.6529488097825279,0.38570084815787037,0.6529488097825279
82.0,40.4,770.0,34.0,-0.8,4.44,36.0,20.8,57.3,0.6507492649133656,0.3856890648187136,0.6507492649133656
82.0,37.6,800.0,34.0,-2.3,3.97,23.0,20.4,59.2,0.649037196578819,0.385870593146869,0.649037196578819
82.0,39.6,777.0,31.0,-2.3,4.33,5.0,20.8,56.5,0.6460118255993244,0.3865976093333463,0.6460118255993244
82.0,37.3,801.0,33.0,-2.3,4.34,0.0,20.4,58.0,0.6450315785384555,0.38655528636946707,0.6450315785384555
